Goal/target,Indicator name,Availability,Time series,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,BIP Indicator
Goal A,A.1 Red List of Ecosystems* ,Available,2014 - 2025,5 years ,Y ,N,N,IUCN,"",Yes
Goal A,A.2 Extent of natural ecosystems* ,In development,1992 - Present ,In development,In development,In development,In development,"","",N
Goal A,A.3 Red List Index ,Available,1980 - 2023,Yearly,Y,Y,Y,IUCN; BirdLife International,IPBES; CMS; SDG; UNCCD; SPMS; AEWA; ACAP; Raptors MOU; CITES,Y
Goal A,A.4 The proportion of populations within species with an effective population size > 500*,Available,1990-2010,Every 4 years,Y,Y,Y,Coalition for Conservation Genetics; GEO BON; The Morton Arboretum; Stockholm University; GBIKE,N,N
Goal B,B.1 Services provided by ecosystems*,In development,Data pending,In development,In development,In development,In development,United Nations Statistics Division (UNSD),Data pending,N
Goal C,C.1 Indicator on monetary benefits received*,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N
Goal C,C.2 Indicator on non-monetary benefits* ,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N
Goal D ,"D.1 International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Available,1996 - Present,Yearly,Y ,Y,Y,Organisation for Economic Co-operation and Development's Development Assistance Committee (OECD DAC),SDG,Y
Goal D ,D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems*,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N 
Goal D ,D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems*,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N 
Target 1,A.1 Red List of Ecosystems* ,Available,2014 - 2025,5 years ,Y ,N,N,IUCN,"",Y
Target 1,A.2 Extent of natural ecosystems* ,In development,1992 - Present ,In development,In development,In development,In development,United Nations Statistics Division (UNSD),N,N
Target 1,1.1 Percent of land and seas covered by biodiversity-inclusive spatial plans* ,In development,In development,In development,In development,In development,In development,Needs Developing,Data pending,N
Target 2,2.2 Area under restoration*,In development,2021 - 2030,Yearly,Y ,Y,Y,Food and Agriculture Organization (FAO),N,N
Target 3,3.1 Coverage of protected areas and OECMS,Available,1819 - Present ,Yearly,Y ,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); International Union for Conservation of Nature (IUCN); BirdLife International (BLI),SDG,Y
Target 4,A.3 Red List index,Available,1980 - 2021,Yearly,Y,Y,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),IPBES; SDG; CMS SPMS,Y
Target 4,A.4 The proportion of populations within species with a genetically effective population size > 500*,In development,In development,In development,In development,In development,In development,In development,In development,N
Target 5,5.1 Proportion of fish stocks within biologically sustainable levels,Available,1974 - 2019,2 years,Y,N,N,FAO,SDG indicator 14.4.1; IPBES Core Indicator,Y
Target 6,6.1 Rate of invasive alien species establishment*,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"","",N 
Target 7,7.1 Index of coastal eutrophication potential,Available,2000 - 2022,2 years,Y,Y,Y,United Nations Environment Programme (UNEP),SDG,N
Target 7,7.2 Pesticide environment concentration*,In development,1990-2019,In development,Y,N,Y,Data pending,N,N
Target 8,In development*,In development,In development,In development,In development,In development,In development,In development,In development,N 
Target 9,9.1 Benefits from the sustainable use of wild species*,In development,Data pending,In development,In development,In development,In development,United Nations Statistics Division (UNSD),Data pending,N
Target 9,9.2 Percentage of the population in traditional employment*,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,N
Target 10,10.1 Proportion of agricultural area under productive and sustainable agriculture,Available,Data pending,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,N
Target 10,10.2 Progress towards sustainable forest management,Available,2000 - 2022,Sub-ind 4. next update 2025.; Sub-ind 5 next update 2023,Y ,Y,Y,Food and Agriculture Organization (FAO),SDG,N
Target 11,11.1 Services provided by ecosystems*,In development,Data pending,In development,Y,Y,In development,United Nations Statistics Division (UNSD),Data pending,N
Target 12,12.1 Average share of the built-up area of cities that is green/blue space for public use for all  ,Available,2020,3 - 5 years,Y ,Y,Y,United Nations (UN) Habitat,SDG,N 
Target 13,C.1 Indicator on monetary benefits received*,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N
Target 13,C.2 Indicator on non-monetary benefits* ,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N
Target 14,In development*,In development,In development,In development,In development,In development,In development,"","",N
Target 15 ,"15.1 Number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity*",In development,In development,In development,In development,In development,In development,Needs Developing,Data pending,N
Target 16,In development*,In development,In development,In development,In development,In development,In development,In development,In development,N
Target 17,In development*,In development,In development,In development,In development,In development,In development,In development,In development,N
Target 18,18.1 Positive incentives in place to promote biodiversity conservation and sustainable use ,Available,1980 - Present,Yearly,Y ,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,Y
Target 18,"18.2 Value of subsidies and other incentives harmful to biodiversity, that have been eliminated, phased out or reformed*",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,N 
Target 19,"D.1 International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Available,1996 - Present,Yearly,Y ,Y,Y,Organisation for Economic Co-operation and Development's Development Assistance Committee (OECD DAC),SDG,Y
Target 19,D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems*,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N 
Target 19,D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems*,In development,In development,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,N 
Target 20,In development*,In development,In development,In development,In development,In development,In development,In development,In development,N
Target 21,21.1 Indicator on biodiversity information for monitoring the global biodiversity framework*,In development,In development,In development,In development,In development,In development,Needs Developing,Data pending,N
Target 22,In development*,In development,In development,In development,In development,In development,In development,In development,In development,N
Target 23,In development*,In development,In development,In development,In development,In development,In development,In development,In development,N
