Var1,Var2,value
IPBES,IPBES,886
GEO,IPBES,28
IPCC,IPBES,3
GBF,IPBES,83
SDG,IPBES,145
CITES,IPBES,0
CMS,IPBES,0
RAMSAR,IPBES,0
UNCCD,IPBES,1
IPBES,GEO,28
GEO,GEO,183
IPCC,GEO,4
GBF,GEO,20
SDG,GEO,13
CITES,GEO,0
CMS,GEO,0
RAMSAR,GEO,0
UNCCD,GEO,2
IPBES,IPCC,3
GEO,IPCC,4
IPCC,IPCC,368
GBF,IPCC,0
SDG,IPCC,0
CITES,IPCC,0
CMS,IPCC,0
RAMSAR,IPCC,0
UNCCD,IPCC,0
IPBES,GBF,83
GEO,GBF,20
IPCC,GBF,0
GBF,GBF,207
SDG,GBF,53
CITES,GBF,0
CMS,GBF,0
RAMSAR,GBF,0
UNCCD,GBF,2
IPBES,SDG,145
GEO,SDG,13
IPCC,SDG,0
GBF,SDG,53
SDG,SDG,100
CITES,SDG,0
CMS,SDG,0
RAMSAR,SDG,0
UNCCD,SDG,1
IPBES,CITES,0
GEO,CITES,0
IPCC,CITES,0
GBF,CITES,0
SDG,CITES,0
CITES,CITES,41
CMS,CITES,0
RAMSAR,CITES,0
UNCCD,CITES,0
IPBES,CMS,0
GEO,CMS,0
IPCC,CMS,0
GBF,CMS,0
SDG,CMS,0
CITES,CMS,0
CMS,CMS,25
RAMSAR,CMS,0
UNCCD,CMS,0
IPBES,RAMSAR,0
GEO,RAMSAR,0
IPCC,RAMSAR,0
GBF,RAMSAR,0
SDG,RAMSAR,0
CITES,RAMSAR,0
CMS,RAMSAR,0
RAMSAR,RAMSAR,18
UNCCD,RAMSAR,0
IPBES,UNCCD,1
GEO,UNCCD,2
IPCC,UNCCD,0
GBF,UNCCD,2
SDG,UNCCD,1
CITES,UNCCD,0
CMS,UNCCD,0
RAMSAR,UNCCD,0
UNCCD,UNCCD,2
