Categories,mea,n
Direct drivers,km_gbf,30
Direct drivers,sdg,12
Direct drivers,unccd,1
Ecosystem services,km_gbf,18
Ecosystem services,sdg,6
Governance,cites,32
Governance,iccwc,41
Governance,km_gbf,60
Governance,sdg,43
Human assets,km_gbf,18
Human assets,sdg,99
Human well-being,km_gbf,22
Human well-being,sdg,39
Knowledge systems,cites,6
Knowledge systems,iccwc,9
Knowledge systems,km_gbf,20
Knowledge systems,sdg,19
biodiversity,cites,1
biodiversity,cms,3
biodiversity,km_gbf,52
biodiversity,ramsar,5
biodiversity,sdg,4
ecosystems,cms,2
ecosystems,km_gbf,74
ecosystems,ramsar,13
ecosystems,sdg,10
ecosystems,unccd,3
